snapshot_version,property_id,property_name,floor,canonical_name,equipment_type,raw_equipment_type,discrepancy_category,status,in_topics,in_drawings,topics_raw_label,drawing_raw_label,source_files,airRef,chilledWaterRef,hotWaterRef,condenserWaterRef,spaceRef,review_required,review_reason
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,AHU_2-A,AHU,AHU,matched,review_required,true,true,AHU-02A,AHU 02 A,AHU_02A.png;VAV_2_05.png;fcu_02_2.png;fptu_02_5.png;fptu_2_01.png;vav_2_1.png,,CHW-PLANT_1,HW-PLANT_1,,,true,weak_topic_evidence; floor digit inferred from inline token '02A'
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,AHU_2-B,AHU,AHU,topics_only,review_required,true,false,AHU-02B,,,,,,,,true,present in BMS topics but absent from drawing evidence; floor digit inferred from inline token '02B'
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,AHU_2-C,AHU,AHU,matched,settled,true,true,AHU-02C,AHU 02 C,ahu_02c.png;ahu_02c_2.png,,CHW-PLANT_1,,,,true,floor digit inferred from inline token '02C'
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,AHU_2-01,AHU,AHU,topics_only,review_required,true,false,AHU_2_01,,,,,,,,true,present in BMS topics but absent from drawing evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,AHU_2-02,AHU,AHU,topics_only,review_required,true,false,AHU_2_02,,,,,,,,true,present in BMS topics but absent from drawing evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,AHU_2-03,AHU,AHU,topics_only,review_required,true,false,AHU_2_03,,,,,,,,true,present in BMS topics but absent from drawing evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,DAWNV_2_9,VAV,VAV,drawing_only,review_required,false,true,,DAWNV_2_09,OAVAV_2_09.png,,,,,,true,extracted from drawings but absent from BMS topics; label prefix 'DAWNV' does not match inferred type 'VAV' (possible misread); preserved as key
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,EAVAV_1_1,EAVAV,EAVAV,floor_ambiguous,floor_ambiguous,true,false,EAVAV_1_01,,,,,,,,true,path=Floor_02 but unit name carries _1_ token; W3 drawings label these _02_; supervisor clarification pending; floor contested; canonical name preserved as key pending floor ruling
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,EAVAV_1_4,EAVAV,EAVAV,floor_ambiguous,floor_ambiguous,true,false,EAVAV_1_04,,,,,,,,true,path=Floor_02 but unit name carries _1_ token; W3 drawings label these _02_; supervisor clarification pending; floor contested; canonical name preserved as key pending floor ruling
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,EAVAV_2-01,EAVAV,EAVAV,topics_only,review_required,true,false,EAVAV_2_01,,,,,,,,true,present in BMS topics but absent from drawing evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,EAVAV_2-02,EAVAV,EAVAV,topics_only,review_required,true,false,EAVAV_2_02,,,,,,,,true,present in BMS topics but absent from drawing evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,EAVAV_2-03,EAVAV,EAVAV,topics_only,review_required,true,false,EAVAV_2_03,,,,,,,,true,present in BMS topics but absent from drawing evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,EVAV_2_1,VAV,VAV,drawing_only,review_required,false,true,,EVAV_02_1,ahu_02c_2.png,,,,,,true,extracted from drawings but absent from BMS topics; label prefix 'EVAV' does not match inferred type 'VAV' (possible misread); preserved as key
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,EVAV_2_2,VAV,VAV,drawing_only,review_required,false,true,,EVAV_02_2,ahu_02c_2.png,,,,,,true,extracted from drawings but absent from BMS topics; label prefix 'EVAV' does not match inferred type 'VAV' (possible misread); preserved as key
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_2-01,FCU,FCU,drawing_only,review_required,false,true,,FCU_02_1,fcu_02_4.png,OAVAV_2-04,CHW-PLANT_1,HW-PLANT_1,,,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_2-02,FCU,FCU,drawing_only,review_required,false,true,,FCU_02_2,fcu_02_2.png,OAVAV_2-05,CHW-PLANT_1,HW-PLANT_1,,,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_2-03,FCU,FCU,drawing_only,review_required,false,true,,FCU_02_3,ahu_02c.png;fcu_02_1.png;fcu_02_3.png,OAVAV_2-06,CHW-PLANT_1,HW-PLANT_1,,,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_2-04,FCU,FCU,drawing_only,review_required,false,true,,FCU_02_4,ahu_02c.png,OAVAV_2-07,CHW-PLANT_1,HW-PLANT_1,,,true,extracted from drawings but absent from BMS topics
